Timestamp;Value;Quality;Tagname;TagId;Description;Engineering Unit;Project Status;Range Low;Range High;
2025.10.22 00:00:00.000 GMT+00:00;1.4E-44;227;00GUA10CF001§§XQ02;28313757;~Расход исходных стоков;%;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.0;227;00GUA10CF001§§XQ02_SW;28314261;Process value;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;8.359289;195;00GUA30CT001§§XQ02;28313764;~Температура в помещении блок-кон;%;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;8.359275;195;00GUA30CT001§§XQ02_SW;28314027;;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;1.0;195;10ADA01GS001§§XQ10;28314439;;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;78.81829;195;10CJA00DP100§§XQ01;28312109;~УСТ P МОД ВД;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.0;7;10CJA00DP200§209941§OUT;28313375;Output value;бар;2;0.0;60.0;
2025.10.22 00:00:00.000 GMT+00:00;18.132666;195;10CJA00DP200§§XQ01;28312126;~УСТ P МОД СД;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.0;7;10CJA00DP300§209942§OUT;28313376;Output value;бар;2;0.0;10.0;
2025.10.22 00:00:00.000 GMT+00:00;3.6;195;10CJA00DP300§§XQ01;28311984;~УСТ P МОД НД;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;53.457428;195;10LBA10CF901§§XQ01;28312106;~МАСС F ПАР ВД;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;549.9;195;10LBA10CT002§§XQ01;28312000;~T ПАР ВД ПОСЛЕ ВЫХ ПАРООХЛ;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.0;7;10LBA20DP004§267832§OUT;28314588;Output value;;2;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.0;7;10LBA20DP004§267834§OUT;28314589;Output value;МПа;2;7.0;15.0;
2025.10.22 00:00:00.000 GMT+00:00;8.287139;195;10LBA20DP004§359209§OUT;28312731;Output value;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;8.287628;195;10LBA20DP004§429001§OUT;28312736;Output value;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;-3.3333302;195;10LBA20DP004§§ER;28312729;~РЕГ Р ОП БРОУ ВД;%;1;-40.0;40.0;
2025.10.22 00:00:00.000 GMT+00:00;8.281826;195;10LBA20DP004§§OUT;28312734;~РЕГ Р ОП БРОУ ВД;;1;0.0;25.0;
2025.10.22 00:00:00.000 GMT+00:00;7.6;227;10LBA20DP004§§Pmin;28312727;~РЕГ Р ОП БРОУ ВД;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;8.281826;195;10LBA20DP004§§XQ02;28312732;~ЗДН Р ОП БРОУ ВД;МПа;1;0.0;25.0;
2025.10.22 00:00:00.000 GMT+00:00;78.8124;195;10LBA20DP004§§XQ05;28312735;~ЗДН Р ОП НА РК ВД;бар;1;66.0;115.0;
2025.10.22 00:00:00.000 GMT+00:00;8.281826;195;10LBA20DP004§§XQ10;28312728;~ЗАДАНИЕ ОТ РЕГ Р ОП БРОУ ВД;МПа;1;0.0;25.0;
2025.10.22 00:00:00.000 GMT+00:00;8.6818285;195;10LBA20DP004§§XQ19;28312733;~ЗДН Р ОП НА БРОУ ВД;МПа;1;0.5;13.5;
2025.10.22 00:00:00.000 GMT+00:00;0.4;195;10LBA20DP004§§XQ30;28313370;~СДВИГ РЕГ Р ОП БРОУ ВД;;1;0.0;0.4;
