Timestamp;Value;Quality;Alarmtype;Suppressed;Auto-Suppressed;Display-Suppressed;Tagname;TagId;Description;Project Status;Gone Text;Raised Text;Priority;Soe;Tagout;
2024.12.18 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;05_START_REQ§203211§OUT;29369509;Binary Output;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;07_LOAD_SHARING§771423§DEV_AL1;29368833;Deviation Alarm IN1;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;07_LOAD_SHARING§771423§DEV_AL2;29368835;Deviation Alarm IN2;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;07_LOAD_SHARING§771423§DEV_AL3;29368837;Deviation Alarm IN3;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;07_LOAD_SHARING§771423§OUT_AL;29369520;Output Quality Alarm;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;07_LOAD_SHARING§771423§Q_AL1;29362548;Quality Alarm IN 1;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;07_LOAD_SHARING§771423§Q_AL2;29362549;Quality Alarm IN 2;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;07_LOAD_SHARING§771423§Q_AL3;29362550;Quality Alarm IN 3;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;6;0;0;0;07_LOAD_SHARING§771423§TRBL_AL;29371313;Trouble Alarm;1;ушел;пришел;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MBP13AA051A§§XG01_MU;29375780;GT VALVE CLOSE;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MBP13AA051B§§XG01_MU;29375779;GT VALVE CLOSE;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MBP13AA051C§§XG01_MU;29375781;GT VALVE NOT OPEN;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;1;0;0;0;11MBP13AA051§§XB02;29375778;GT VALVE CLOSE;1;[СК ГТ ЗАКР];СК ГТ ЗАКР;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;21 PULSE 15 SEC§§OUT;29374849;;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;11;-1;0;0;0;21 PULSE 20 SEC§§OUT;29375068;ВХОДНОЙ РК AA102 ДК-8А (НАСТРОЙКА)/ INLET PCV CONTROL LOOPS AA102;2;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;21 PULSE 30 SEC§§OUT;29375074;ВХОДНОЙ РК AA102 ДК-8А (НАСТРОЙКА)/ INLET PCV CONTROL LOOPS AA102;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;21 PULSE 5 SEC§§OUT;29374850;;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;21 PULSE 8 SEC§§OUT;29374851;;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;21_BENTLY_NEVADA§769112§OUT;29364604;Binary Output;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;21_COMMON_ALARM_SHUTDOWN§47678§Q;29374671;Output;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;21_COMMON_ALARM_SHUTDOWN§762343§OUT;29372944;Binary Output;1;[COMMON SHUTDOWN UNIT21];COMMON SHUTDOWN UNIT21;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;21_COMMON_ALARM_SHUTDOWN§762345§Q;29362902;Output;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;21_COMMON_ALARM_SHUTDOWN§762353§Q;29371444;Output;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;21_COMMON_ALARM_SHUTDOWN§769969§OUT;29363853;Binary Output;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;195;1;0;0;0;21_COMMON_ALARM_SHUTDOWN§§OUT;29372687;ОБЩАЯ СИГНАЛИЗАЦИЯ И ОБЩИЙ ОСТАНОВ 43;1;[ГРУППОВАЯ ЗАЩИТА СРАБОТАЛА];ГРУППОВАЯ ЗАЩИТА СРАБОТАЛА;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;21_COMPRESSOR READY TO START§21_MIN_PRESS§OUT;29373991;Output Value;1;;;0;0;0;
2024.12.18 00:00:00.000 GMT+00:00;0;11;-1;0;0;0;21_COMPRESSOR READY TO START§49364§OUT;29373990;Output Value;2;;;0;0;0;
