Timestamp;Value;Quality;Alarmtype;Suppressed;Auto-Suppressed;Display-Suppressed;Tagname;TagId;Description;Project Status;Gone Text;Raised Text;Priority;Soe;Tagout;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;10ADA01CE010§XG01§TRBL_AL;29372648;Trouble  Alarm;1;;FAULT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;10ADA01CE016§XG01§TRBL_AL;29372801;Trouble  Alarm;1;;FAULT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;10ADA01GS001H§XG01§TRBL_AL;29372871;Trouble  Alarm;1;;FAULT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;10ADA01GS001H§§XG01;29373377;ПТ ПРР БЛ $ ST UNIT CB;1;;ЗАКР $ CLOSED;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;10ADA01GS001M§XG02§TRBL_AL;29372865;Trouble  Alarm;1;;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;10ADA01GS001M§§XG02;29372752;ПТ ПРР БЛ $ ST UNIT CB;1;;ОТКР $ OPEN;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;11;-1;0;0;0;10ADA01GS001S§64621§OUT;29373362;Binary Output;2;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;6;0;0;0;10ADA01GS001S§64621§TRBL_AL;29373363;Trouble  Alarm;1;cleared;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;10ADA01GS001S§§XG03;29373364;ПТ ПРР БЛ $ ST UNIT CB;1;;ОШ-КА $ FAULT;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;11;1;0;0;0;10ADA01GS001§MOTOR§COM;29372845;COMMISSIONING Mode;2;;COM-MODE;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§FB_ERR;29372607;Feedback Error;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§F_START;29372653;Failed to START;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§F_STOP;29372709;Failed to STOP;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§P_START;29372802;Protection Execution START;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§P_STOP;29372610;Protection Execution STOP;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§P_UVSTOP;29372707;Protection Undervoltage STOP;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;11;-1;0;0;0;10ADA01GS001§MOTOR§Q_AL;29372692;Quality Alarm;2;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;11;14;0;0;0;10ADA01GS001§MOTOR§RESET_P;29372807;Operator Response;2;;RESET;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;10ADA01GS001§MOTOR§SD_NRUN;29372733;Status Discrepancy NOT RUNNING;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§SD_NSTOP;29372791;Status Discrepancy NOT STOPPED;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;11;1;0;0;0;10ADA01GS001§MOTOR§TAGOUT;29372671;TAGOUT Mode;2;;TAGOUT;0;0;1;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;10ADA01GS001§MOTOR§TRBL;29372864;Equipment in TROUBLE;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;11;6;0;0;0;10ADA01GS001§MOTOR§TRBL_AL;29372818;Trouble Alarm;2;;present;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§MOTOR§UV;29372758;Undervoltage Present;1;;;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;1;0;0;0;10ADA01GS001§§COM;29373896;ПТ ПРР БЛ $ ST UNIT CB;1;;COM-MODE;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;10ADA01GS001§§Q_AL;29373898;ПТ ПРР БЛ $ ST UNIT CB;1;;;0;0;0;
