DATE;TIME;10MAC10CT072A§§XQ01;10MAC10CT073A§§XQ01;10MAC10CT013A§§XQ01;10MAC10CT012A§§XQ01;10MAC10CT011A§§XQ01;10MAC10CT071A§§XQ01;10MAC11CT001A§§XQ01;10MAC10CT071A§XQ01§CF;10MAC10CT012A§XQ01§CF;10MAC10CT013A§XQ01§CF;10MAC10CT011A§XQ01§CF;10MAC10CT072A§XQ01§CF;10MAC10CT073A§XQ01§CF;10MAC11CT001A§XQ01§CF;
01.01.2023;00:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;00:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;01:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;01:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;02:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;02:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;03:00:00,000;30,891;30,799;70,700;70,700;77,400;30,848;218,30;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;03:30:00,000;30,486;30,301;71,740;71,986;78,813;30,418;216,17;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;04:00:00,000;29,864;29,665;72,533;71,193;76,469;29,757;212,38;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;04:30:00,000;29,488;29,318;70,725;69,725;74,100;29,558;209,16;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;05:00:00,000;29,524;29,407;71,360;70,671;76,630;29,464;206,00;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;05:30:00,000;29,562;29,453;73,129;73,357;80,775;29,508;202,70;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;06:00:00,000;29,529;29,453;75,183;75,529;83,433;29,491;199,72;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;06:30:00,000;29,556;29,453;77,033;77,386;85,217;29,516;197,70;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;07:00:00,000;29,567;29,405;78,617;79,040;86,850;29,478;195,44;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;07:30:00,000;29,486;29,386;80,100;80,400;88,175;29,439;192,80;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;08:00:00,000;29,437;29,365;81,125;81,680;89,125;29,464;190,78;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;08:30:00,000;29,513;29,394;82,125;82,733;89,967;29,464;189,25;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;09:00:00,000;29,394;29,293;82,850;83,350;90,600;29,399;187,25;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;09:30:00,000;29,318;29,166;83,600;83,950;91,100;29,307;185,50;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;10:00:00,000;29,139;29,090;83,950;84,450;91,450;29,151;183,95;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;10:30:00,000;29,109;29,033;84,300;84,833;91,650;29,028;182,47;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;11:00:00,000;29,079;29,003;84,800;85,250;91,900;29,066;181,03;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;11:30:00,000;28,992;29,001;85,475;85,900;91,567;28,826;179,27;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;12:00:00,000;32,139;32,129;86,400;86,825;92,200;31,907;177,43;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;12:30:00,000;36,507;36,280;87,320;87,875;92,700;36,493;176,17;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;13:00:00,000;41,779;41,430;88,425;89,050;93,350;42,403;175,05;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;13:30:00,000;47,726;47,233;89,580;90,100;94,320;48,865;173,85;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;14:00:00,000;54,154;53,277;90,725;91,280;95,550;55,108;172,70;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;14:30:00,000;60,457;59,506;91,800;92,500;96,700;61,231;171,70;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;15:00:00,000;66,117;65,159;93,150;93,760;97,775;66,615;170,90;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;15:30:00,000;71,233;70,425;94,500;95,025;98,980;71,474;170,10;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;16:00:00,000;75,548;74,924;95,720;96,260;100,28;75,964;169,20;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;16:30:00,000;79,509;78,944;97,080;97,550;101,48;79,838;168,45;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;17:00:00,000;83,025;82,421;98,480;98,814;102,56;83,198;167,85;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;17:30:00,000;86,119;85,509;99,760;100,28;103,66;86,277;167,10;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;18:00:00,000;88,792;88,211;100,85;101,40;104,76;88,864;166,45;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;18:30:00,000;78,680;78,223;101,70;102,20;105,47;77,721;165,90;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;19:00:00,000;76,144;75,443;102,25;102,85;106,10;75,842;165,45;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;19:30:00,000;78,587;77,428;103,10;103,75;106,90;79,084;164,85;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;20:00:00,000;81,042;79,718;104,08;104,70;107,88;81,787;164,40;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;20:30:00,000;83,632;82,287;105,00;105,62;108,78;84,314;163,95;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;21:00:00,000;86,101;84,939;105,94;106,67;109,70;86,759;163,35;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;21:30:00,000;88,834;87,635;106,88;107,43;110,68;89,291;162,75;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;22:00:00,000;77,541;77,134;107,30;107,70;110,80;77,213;162,25;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;22:30:00,000;76,622;75,673;107,60;108,13;111,30;76,950;161,80;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;23:00:00,000;79,631;78,378;108,23;108,65;111,77;80,246;161,25;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;23:30:00,000;82,324;81,195;108,90;109,23;112,25;82,962;160,65;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;00:00:00,000;85,080;83,829;109,43;109,80;112,83;85,838;160,20;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;00:30:00,000;87,665;86,405;109,87;110,33;113,25;88,481;159,75;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;01:00:00,000;77,933;77,488;110,27;110,73;113,63;77,005;159,15;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;01:30:00,000;71,652;71,167;110,30;110,70;113,80;70,776;158,55;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;02:00:00,000;76,595;75,545;110,60;111,13;114,20;76,729;157,95;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;02:30:00,000;80,293;79,141;111,00;111,60;114,50;80,673;157,50;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;03:00:00,000;83,722;82,812;111,58;112,10;115,00;84,257;157,00;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;03:30:00,000;86,793;86,049;112,10;112,58;115,47;87,318;156,45;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;04:00:00,000;70,906;71,647;112,43;112,90;115,80;68,814;155,85;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;04:30:00,000;62,278;63,663;112,40;112,75;115,85;59,521;155,40;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;05:00:00,000;71,982;72,042;112,70;113,03;116,10;71,332;154,95;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;05:30:00,000;78,011;77,563;112,90;113,40;116,30;77,716;154,35;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;06:00:00,000;82,739;82,188;113,20;113,75;116,60;82,598;153,85;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;06:30:00,000;86,661;86,033;113,60;114,10;116,80;86,684;153,30;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;07:00:00,000;69,872;70,268;113,65;114,20;116,80;67,879;152,80;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;07:30:00,000;58,712;59,881;113,50;114,00;116,70;56,012;152,25;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;08:00:00,000;70,531;70,838;113,60;113,95;116,60;69,538;151,75;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;08:30:00,000;77,271;77,115;113,75;114,10;116,75;76,776;151,15;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;09:00:00,000;82,365;82,070;113,95;114,40;117,00;82,132;150,60;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;09:30:00,000;86,475;86,017;114,25;114,70;117,20;86,436;149,85;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;10:00:00,000;74,544;74,157;114,40;114,80;117,40;74,462;149,40;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;10:30:00,000;65,828;65,420;114,00;114,30;117,10;64,937;148,95;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;11:00:00,000;74,924;74,321;113,90;114,33;117,30;74,704;148,35;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;11:30:00,000;79,798;79,170;114,10;114,70;117,60;79,777;147,75;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;12:00:00,000;83,895;83,368;114,40;115,00;117,85;83,863;147,15;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;12:30:00,000;87,395;87,028;114,65;115,25;118,15;87,250;146,55;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;13:00:00,000;70,794;71,121;114,53;115,10;117,73;69,692;146,10;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;13:30:00,000;67,003;68,247;114,05;114,47;117,15;64,972;145,65;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
