DATE;TIME;10MAA50CP012壯XQ03;10MAA50CP012壯XQ02;10MAA50CP012壯XQ01;10MAA50CP011壯XQ02;10MAA50CP011壯XQ01;10MAA50CP011壯XQ03;10MAA50CP013壯XQ01;10MAA50CP013壯XQ02;10MAA50CP013壯XQ03;10MAA50CP001壯XQ01;10MAA50CP012匣Q01低F;10MAA50CP011匣Q03低F;10MAA50CP013匣Q01低F;10MAA50CP011匣Q02利_AL;10MAA50CP011匣Q01低F;10MAA50CP013匣Q02利_AL;10MAA50CP012匣Q03低F;10MAA50CP012匣Q02利_AL;10MAA50CP013匣Q02低F;10MAA50CP013匣Q03低F;10MAA50CP011匣Q02低F;10MAA50CP012匣Q02低F;10MAA50CP001匣Q01低F;
01.01.2023;00:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;00:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;01:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;01:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;02:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;02:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;03:00:00,000;1,0300;1382,4;0,015191;1478,5;0,0054255;1,0134;0,016276;6000,0;-5,4470;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;03:30:00,000;1,0250;1393,4;0,013021;1482,5;0,0054255;1,0142;0,015191;6000,0;-5,4353;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;04:00:00,000;1,0239;1407,8;0,0097661;1486,9;0,0054255;1,0095;0,015191;6000,0;-5,4709;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;04:30:00,000;1,0202;1408,4;0,0097661;1492,1;0,0021706;1,0072;0,015191;6000,0;-5,4654;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;05:00:00,000;1,0209;1407,0;0,0086808;1492,8;0,0021706;1,0019;0,013021;6000,0;-5,4956;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;05:30:00,000;1,0172;1414,2;0,0086808;1492,0;-0,0010848;1,0009;0,013021;6000,0;-5,5007;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;06:00:00,000;1,0155;1414,2;0,0054255;1491,0;0,0021706;0,99978;0,013021;6000,0;-5,4995;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;06:30:00,000;1,0153;1414,3;0,0075955;1490,9;-0,0010848;0,99884;0,013021;6000,0;-5,5000;-0,26698;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;07:00:00,000;1,0153;1415,1;0,0054255;1490,4;-0,0010848;0,99813;0,013021;6000,0;-5,5261;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;07:30:00,000;1,0153;1419,7;0,0075955;1490,1;-0,0010848;0,99667;0,010851;6000,0;-5,5362;-0,26794;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;08:00:00,000;1,0153;1420,9;0,0075955;1489,8;-0,0010848;0,99556;0,010851;6000,0;-5,5353;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;08:30:00,000;1,0153;1421,0;0,0054255;1488,1;-0,0021701;0,99414;0,010851;6000,0;-5,5236;-0,26698;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;09:00:00,000;1,0153;1420,7;0,0075955;1486,4;-0,0021701;0,99358;0,010851;6000,0;-5,5244;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
