DATE;TIME;10MAB50CT023A§§XQ01;10MAB50CT021A§§XQ01;10MAB50CT022A§§XQ01;10MAB11CT021A§§XQ01;10MAB50CT011A§§XQ01;10MAB50CT013A§§XQ01;10MAB50CT012A§§XQ01;10MAB21CT021A§§XQ01;10MAB50CT021A§XQ01§CF;10MAB50CT023A§XQ01§CF;10MAB50CT022A§XQ01§CF;10MAB50CT013A§XQ01§CF;10MAB50CT012A§XQ01§CF;10MAB11CT021A§XQ01§CF;10MAB50CT011A§XQ01§CF;10MAB21CT021A§XQ01§CF;
01.01.2023;00:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;00:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;01:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;01:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;02:00:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;02:30:00,000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;03:00:00,000;262,10;261,60;262,10;499,20;400,60;401,50;400,80;492,20;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;03:30:00,000;261,43;260,97;261,40;497,46;396,61;397,23;396,78;490,50;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;04:00:00,000;260,50;259,93;260,30;494,62;390,14;390,66;390,06;487,32;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;04:30:00,000;259,60;258,83;259,40;491,82;384,36;384,91;384,53;484,24;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
