Timestamp;Value;Quality;Tagname;TagId;Description;Engineering Unit;Project Status;Range Low;Range High;
2024.12.18 00:00:00.000 GMT+00:00;5.0;195;07_LOAD_SHARING§771423§O_MODE;28312417;Active Output Mode;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;127.0;227;21_VIBRATION_SETPOINTS§§SP_AXIAL_ALARM;28312849;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;50.0;227;21_VIBRATION_SETPOINTS§§SP_AXIAL_WARNING;28312850;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;36.0;227;21_VIBRATION_SETPOINTS§§VH;28312847;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;46.0;227;21_VIBRATION_SETPOINTS§§VHH;28312843;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;127.0;227;22_VIBRATION_SETPOINTS§§SP_AXIAL_ALARM;28312848;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;50.0;227;22_VIBRATION_SETPOINTS§§SP_AXIAL_WARNING;28312841;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;36.0;227;22_VIBRATION_SETPOINTS§§VH;28312844;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;46.0;227;22_VIBRATION_SETPOINTS§§VHH;28312842;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;11;23 LOW LIMIT RCV§§OUT;28313197;РЕЦИРКУЛЯЦИОННЫЙ КЛАПАН;;2;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;127.0;227;23_VIBRATION_SETPOINTS§§SP_AXIAL_ALARM;28312852;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;50.0;227;23_VIBRATION_SETPOINTS§§SP_AXIAL_WARNING;28312846;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;36.0;227;23_VIBRATION_SETPOINTS§§VH;28312851;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;46.0;227;23_VIBRATION_SETPOINTS§§VHH;28312845;УСТАВКИ BENTLY NEVADA;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;227;2OO3§26283§OUT;28311793;Output  Value;%;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;4.0;227;2OO3§26283§O_MODE;28311880;Active Output Mode;;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.11;227;2OO3§SP_TE§OUT;28312490;Output Value;°C;1;0.0;1.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;227;2OO3§§OUT;28311740;2 ИЗ 3 ТИПОВАЯ ЛОГИКА;%;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;227;ACC_Surge_Protection§889547§OUT;28313538;Output Value;%;1;-100.0;0.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;227;ACC_Surge_Protection§889548§OUT;28313536;Output Value;%;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;35;ACC_Surge_Protection§889549§OUT;28313535;Output Value;%;1;-100.0;100.0;
