Timestamp;Value;Quality;Tagname;TagId;Description;Engineering Unit;Project Status;Range Low;Range High;
2025.10.27 00:00:00.000 GMT+00:00;23.028927;195;00BRU11CT001§§XQ01;28312775;T ШК 00BRU11;°C;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;20.799572;195;00BRU12CT001§§XQ01;28312798;T ШК 00BRU12;°C;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;-9.997107;35;02GCK20CQ001§§XQ01;28313130;рН ВПК ПДГР-1;pH;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;-9.997107;35;02GCK20CQ002§§XQ01;28313383;рН ВПК ПДГР-2;pH;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;-9.997107;35;02GCK20CQ003§§XQ01;28313112;рН ВПК ПДГР-3;pH;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;-9.997107;35;02GCK20CQ004§§XQ01;28313292;рН ВПК ПДГР-4;pH;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;-9.997107;35;02GCK90CQ001§§XQ01;28313183;рН В НАП НАС ДЕК В;pH;1;0.0;100.0;
2025.10.27 00:00:00.000 GMT+00:00;-49.98553;35;20BMA01CE001§§XQ01;28313067;U СЕКЦ 20BMA;В;1;0.0;500.0;
2025.10.27 00:00:00.000 GMT+00:00;-249.92766;35;20BMA01CE002§§XQ01;28313089;I ВВ РАБ ПИТ СЕКЦ 20BMA;А;1;0.0;2500.0;
2025.10.27 00:00:00.000 GMT+00:00;-49.98553;35;20BMB01CE001§§XQ01;28313368;U СЕКЦ 20BMB;В;1;0.0;500.0;
2025.10.27 00:00:00.000 GMT+00:00;-249.92766;35;20BMB01CE002§§XQ01;28313137;I ВВ РАБ ПИТ СЕКЦ 20BMB;А;1;0.0;2500.0;
2025.10.27 00:00:00.000 GMT+00:00;396.96225;195;20BMD01CE001§§XQ01;28313163;U СЕКЦ 20BMD;В;1;0.0;500.0;
2025.10.27 00:00:00.000 GMT+00:00;230.33221;195;20BMD01CE002§§XQ01;28313287;I ВВ РАБ ПИТ СЕКЦ 20BMD;А;1;0.0;1000.0;
2025.10.27 00:00:00.000 GMT+00:00;396.27045;195;20BMD01CE101§§XQ01;28313202;U СЕКЦ 20BMD;В;1;0.0;500.0;
2025.10.27 00:00:00.000 GMT+00:00;2.9160767;195;20BMD01CE102§§XQ01;28313342;I ВВ РЕЗ ПИТ СЕКЦ 20BMD;А;1;0.0;1000.0;
2025.10.27 00:00:00.000 GMT+00:00;-49.98553;35;20BMD01CE201§§XQ01;28313256;U СЕКЦ 20BMD;В;1;0.0;500.0;
2025.10.27 00:00:00.000 GMT+00:00;-99.97106;35;20BMD01CE202§§XQ01;28313375;I ВВ ПИТ ДГ СЕКЦ 20BMD;А;1;0.0;1000.0;
2025.10.27 00:00:00.000 GMT+00:00;234.15363;195;20BUA10CE001A§§XQ01;28315353;U1 ЩПТ1 СЕКЦ 1 ШКАФ 1А;В;1;0.0;250.0;
